"Category","売上金額","累計構成比"
"生ﾚﾓﾝｻﾜｰ60分飲み放題",226000,6.135518953595387
"本日の赤字焼肉A",200840,11.587986328109093
"元祖やみつきハラミ",200640,17.035024039832006
"生ビール",187910,22.136463714920986
"上ハラミ",157180,26.403635702204717
"元祖やみつき塩タン",123500,29.756452475519012
"カルビ",122360,33.078320170925785
"本日の赤字焼肉B",99720,35.78555003841487
"厚切り牛タン",97670,38.43712586229832
"ハラミ",74860,40.46944864489191
"本日の赤字焼肉C",70740,42.389920373995174
"生タンユッケ",69560,44.27835709263276
"冷麺",66720,46.0896925996411
"5種盛り合わせ",62720,47.79243485083359
"和牛ユッケネギまみれ",62720,49.49517710202608
"牛タン",60900,51.148509421822354
"牛ホルモン",59660,52.76817783231572
"キムチ盛り合わせ",56840,54.31128799745892
"日替わりホルモンミックス",56260,55.83865214050881
"白センマイ刺し",54520,57.31877821727882
"上ミノ",52890,58.754652542303866
"ご飯(大",51750,60.15957778942139
"ご飯(中",46200,61.413829894094434
"焼きすきカルビ",38760,62.46609854294999
"本日の赤字焼肉D",36760,63.464070563897636
"コーラ",34800,64.4088318894955
"ハツ",34580,65.34762058602351
"6秒焼きロース",33440,66.255460204644
"ハイボール",33440,67.16329982326448
"せせり",33360,68.06896757676864
"まるちょう",31540,68.9252253988766
"タン",31160,69.77116686168206
"メガハイボール",30000,70.58561628030091
"レバー",29260,71.37997594659383
"たまごスープ",28880,72.16401925358426
"レモンサワー",28310,72.93258802162092
"飲み放題延長30分",28200,73.69817047512264
"ウーロン茶",27900,74.45560843443818
"白菜キムチ",27740,75.20870266352108
"ナムル盛り合わせ",27260,75.94876570190608
"ネギ塩タン",26660,76.6725397519187
"チョレギサラダ",26400,77.3892552403033
"トロたん",25760,78.08859580775736
"コリコリ",25080,78.76947552172273
"石焼ビビンバ",23040,79.39497267522201
"元祖やみつき牛塩タン",22040,79.99332151476733
"もやしナムル",20900,80.56072127640513
"国産大判切り落としカルビ",20790,81.125134723508
"和牛ユッケ寿司30cm",20720,81.68764778863408
"豚トロ",19760,82.22409847236437
"きゅうりキムチ",19760,82.76054915609467
"赤センマイ",19760,83.29699983982496
"ウィンナー",19000,83.81281780495024
"メガハイボール",18720,84.32103424216841
"ネギ塩牛タン",18270,84.81703393810729
"ご飯(小",17700,85.29755909509241
"ジューシー骨付きウインナー1本",17640,85.7764553532403
"1000ベロセット",17000,86.23797669045764
"黒毛和牛の肉寿司【1貫】",15960,86.67126378116288
"たん食べ比べセット",14880,87.07523069279783
"にんにくホイル焼き",14820,87.47756870559554
"石焼チーズビビンバ",14310,87.86606107827674
"豚バラ",14060,88.24776637246944
"ネギ塩カルビ",13760,88.62132717247596
"鶏もも",12920,88.97208338876115
"コーンバター",12600,89.31415214458107
"とくちゃん特製石焼ビビンバ",12180,89.64481860854033
"焼きしゃぶカルビ",12160,89.97494210622051
"黒蜜きな粉アイス",12000,90.30072187366805
"カルピス",11850,90.6224293940225
"センマイ焼き",11780,90.94223653240017
"上ハラミ飯ミニ",11780,91.26204367077784
"ネギ塩上ハラミ",11340,91.56990555101576
"ジンジャー",11250,91.87532408299784
"大瓶 キリン瓶ビール",10400,92.15766654811904
"ポテトサラダ",10260,92.4362082492867
"包み野菜",9600,92.69683206324473
"とくちゃん特製石焼チーズビビンバ",9450,92.95338363010967
"炙りマシュマロアイス",8750,93.19093137720684
"枝豆掴み取り",8740,93.42820764116446
"石焼チゲスープ",8700,93.66439797256393
"冷やしトマト",8680,93.90004533768432
"大根キムチ",8360,94.12700524233944
"韓国のり",8170,94.34880696734331
